Action ID,Question,Category/Subcategory,Expected Answer
MG-1.3-002,"Have you monitored the robustness and effectiveness of risk controls and mitigation plans (e.g., via red-teaming, field testing, and user feedback)?",Human-AI Configuration,Yes
MG-2.2-001,"Have you compared GAI system outputs against pre-defined organizational risk tolerance, guidelines, and principles, and tested content accordingly?","CBRN Information or Capabilities; Obscene, Degrading, and/or Abusive Content; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content",Yes
MG-2.2-002,Have you documented training data sources to trace the origin and provenance of AI-generated content?,Information Integrity,Yes
MG-2.2-003,"Have you evaluated and updated feedback loops between GAI system content provenance and human reviewers, including real-time monitoring?",Information Integrity,Yes
MG-2.2-004,"Have you evaluated GAI content and data for representational biases and applied techniques (e.g., re-sampling, re-ranking, adversarial training) to mitigate them?",Information Security; Harmful Bias and Homogenization,Yes
MG-2.2-005,"Have you conducted due diligence to analyze GAI outputs for harmful content, misinformation, or CBRN/NCII-related content?","CBRN Information or Capabilities; Obscene, Degrading, and/or Abusive Content; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content",Yes
MG-2.2-006,"Have you used feedback from internal/external AI Actors, users, and communities to assess the impact of AI-generated content?",Human-AI Configuration,Yes
MG-2.2-007,Have you employed real-time auditing tools to track and validate the lineage and authenticity of AI-generated data?,Information Integrity,Yes
MG-2.2-008,Have you implemented structured feedback mechanisms to capture user input regarding the quality and alignment of AI-generated content?,Human-AI Configuration; Harmful Bias and Homogenization,Yes
MG-2.2-009,Have you considered using synthetic data and other privacy-enhancing techniques to match real-world data properties without disclosing PII?,Data Privacy; Intellectual Property; Information Integrity; Confabulation; Harmful Bias and Homogenization,Yes
MG-2.3-001,"Have you developed and updated incident response and recovery plans that address newly encountered uses, ensure policy maintenance, and include communication with downstream AI Actors?",Value Chain and Component Integration,Yes
MG-2.4-001,Have you established and maintained communication plans to inform AI stakeholders during the deactivation or disengagement of a GAI system?,Human-AI Configuration,Yes
MG-2.4-002,Have you established procedures for escalating GAI system incidents to the organizational risk management authority when deactivation criteria are met?,Information Security,Yes
MG-2.4-003,Have you set procedures for remediating issues that trigger incident response processes and provided stakeholders with remediation timelines?,Information Security,Yes
MG-2.4-004,Have you established and regularly reviewed specific criteria that warrant the deactivation of GAI systems in line with risk tolerances?,Information Security,Yes
MG-3.1-001,"Have you applied organizational risk tolerances and controls (e.g., acquisition processes, background checks, filtering, grounding) to third-party GAI resources and models?",Value Chain and Component Integration; Intellectual Property,Yes
MG-3.1-002,"Have you tested the GAI system value chain for risks (e.g., data poisoning, malware, labor practices, privacy, geopolitical alignment)?",Data Privacy; Information Security; Value Chain and Component Integration; Harmful Bias and Homogenization,Yes
MG-3.1-003,Have you re-assessed model risks after fine-tuning or when deploying third-party models for new applications or use cases?,Value Chain and Component Integration,Yes
MG-3.1-004,"Have you reviewed training data for CBRN information, intellectual property, and taken measures to prevent outputs that reproduce sensitive content?",Intellectual Property; CBRN Information or Capabilities,Yes
MG-3.1-005,"Have you reviewed transparency artifacts (e.g., system/model cards) for third-party models?",Information Integrity; Information Security; Value Chain and Component Integration,Yes
MG-3.2-001,"Have you applied explainable AI (XAI) techniques (e.g., analysis of embeddings, gradient attributions, occlusion) as part of continuous improvement to mitigate risks of unexplainable GAI systems?",Harmful Bias and Homogenization,Yes
MG-3.2-002,"Have you documented how pre-trained models have been adapted (e.g., fine-tuning, retrieval augmentation, parameter adjustments) for their specific generative tasks?",Information Integrity; Data Privacy,Yes
MG-3.2-003,"Have you documented sources and types of training data, potential biases, training duration, hyperparameters, and any modifications applied?",Information Integrity; Harmful Bias and Homogenization; Intellectual Property,Yes
MG-3.2-004,Have you evaluated user-reported problematic content and integrated that feedback into system updates?,"Human-AI Configuration; Dangerous, Violent, or Hateful Content",Yes
MG-3.2-005,"Have you implemented content filters to prevent the generation of inappropriate, harmful, false, illegal, or violent content (including CSAM and NCII)?","Information Integrity; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content; Obscene, Degrading, and/or Abusive Content",Yes
MG-3.2-006,"Have you established real-time monitoring processes for analyzing content performance and trustworthiness related to content provenance, with alerts for intervention?",Information Integrity,Yes
MG-3.2-007,Have you leveraged feedback and recommendations from organizational boards/committees concerning the deployment of third-party pre-trained models?,Information Integrity; Value Chain and Component Integration,Yes
MG-3.2-008,Have you employed human moderation systems to review generated content in line with established policies and socio-cultural norms?,Human-AI Configuration,Yes
MG-3.2-009,"Have you used organizational risk tolerance to evaluate acceptable risks and performance, and decommission or retrain pre-trained models that exceed limits?",CBRN Information or Capabilities; Confabulation,Yes
MG-4.1-001,"Have you collaborated with external researchers, industry experts, and community representatives to stay updated on best practices and technologies for risk management?",Information Integrity; Harmful Bias and Homogenization,Yes
MG-4.1-002,"Have you established and evaluated organizational processes for post-deployment monitoring of GAI systems, particularly for confabulation, CBRN, or cyber risks?",CBRN Information or Capabilities; Confabulation; Information Security,Yes
MG-4.1-003,Have you evaluated the use of sentiment analysis to gauge user sentiment regarding GAI content performance and impact?,Human-AI Configuration,Yes
MG-4.1-004,Have you implemented active learning techniques to identify instances where the model fails or produces unexpected outputs?,Confabulation,Yes
MG-4.1-005,Have you shared transparency reports with stakeholders detailing the updates made to enhance GAI system transparency and accountability?,Human-AI Configuration; Harmful Bias and Homogenization,Yes
MG-4.1-006,"Have you tracked dataset modifications for provenance (monitoring deletions, rectification requests, etc.) to ensure content verifiability?",Information Integrity,Yes
MG-4.1-007,Have you verified that designated AI Actors can effectively evaluate GAI system performance (including content provenance tracking) and escalate issues promptly?,Human-AI Configuration; Information Integrity,Yes
MG-4.2-001,"Have you conducted regular monitoring of GAI systems and published reports detailing system performance, received feedback, and improvements made?",Harmful Bias and Homogenization,Yes
MG-4.2-002,"Have you practiced and followed incident response plans for inappropriate or harmful content, including post-mortem analyses to implement preventive measures?","Human-AI Configuration; Dangerous, Violent, or Hateful Content",Yes
MG-4.2-003,Have you used visualizations or other methods to represent GAI model behavior for non-technical stakeholder understanding?,Human-AI Configuration,Yes
MG-4.3-001,"Have you conducted after-action assessments for GAI system incidents to verify response and recovery processes, and communicated incidents to relevant AI Actors and regulators?",Information Security,Yes
MG-4.3-002,"Have you established policies and procedures to record and track reported errors, near-misses, and negative impacts?",Confabulation; Information Integrity,Yes
MG-4.3-003,"Have you reported GAI incidents in compliance with legal and regulatory requirements (e.g., HIPAA, OCR, NHTSA)?",Information Security; Data Privacy,Yes
