CVE ID,Framework/Tool,Affected Versions,Type of Attack,Description,Severity Score,Source of CVE,Relevant Phase,Attack Vector,Mitigation,Source of Mitigation,Extracted Version
CVE-2023-43654,pytorch,< 0.8.2,Improper Input Validation,"TorchServe default configuration allows third-party remote HTTP download requests, compromising system integrity. Fixed in TorchServe 0.8.2.",,NVD,Maintain,Unknown,Restrict remote download capabilities and validate all incoming requests. Use access control mechanisms to limit download permissions.,"NIST SP 800-53 Rev. 5, SC-7 (Boundary Protection) - Implementing controls for network access.",0.8.2
CVE-2022-45907,pytorch,Unknown (Needs Research),Remote Code Execution (RCE),Unsafe use of eval in torch.jit.annotations.parse_type_line can lead to arbitrary code execution in PyTorch before trunk/89695.,,NVD,Maintain,User Input / API Execution,Avoid using eval and replace it with safer parsing methods. Conduct code audits to identify and replace insecure functions.,"OWASP Top 10, A1: Injection - Preventing code injection risks through secure coding practices.",
CVE-2022-0845,pytorch,< 1.6.0,Code Injection,Code Injection vulnerability in pytorch-lightning prior to version 1.6.0.,,NVD,Maintain,Unknown,Validate input and use safer methods for handling user input. Conduct regular security reviews of code handling critical operations.,"NIST SP 800-53 Rev. 5, SI-10 (Information Input Validation) - Validating all data inputs to prevent injection attacks.",1.6.0
CVE-2021-4118,pytorch,Unknown (Needs Research),Deserialization of Untrusted Data,"pytorch-lightning is vulnerable to deserialization of untrusted data, allowing arbitrary code execution.",,NVD,Maintain,Unknown,Use secure deserialization libraries and ensure that input data is validated. Implement isolation for deserialization processes.,OWASP Deserialization Cheat Sheet - Guidance on preventing deserialization vulnerabilities.,
CVE-2024-5206,scikit-learn,< 1.5.0,Sensitive Data Leakage,"A vulnerability in scikit-learn's TfidfVectorizer up to version 1.4.1.post1 allows unexpected storage of all tokens in the stop_words_ attribute, potentially leading to the leakage of sensitive information. Fixed in version 1.5.0.",,NVD,"Development, Maintenance",Unknown,Upgrade to scikit-learn version 1.5.0 and ensure sensitive data is sanitized before vectorization.,"NIST SP 800-53 Rev. 5, SI-12 (Information Management) - Ensuring secure handling of sensitive information.",1.5.0
CVE-2024-37056,scikit-learn,< 1.23.0,"Unsafe Deserialization, RCE","MLflow versions 1.23.0 or newer are vulnerable to deserialization of untrusted data, allowing a malicious LightGBM scikit-learn model to run arbitrary code on an end user's system when the model is interacted with.",,NVD,"Deployment, Maintenance",Unknown,Ensure that only trusted models are used and sanitize input data. Implement strict deserialization checks.,"OWASP Secure Coding Practices, A8: Deserialization - Validating serialized data sources.",1.23.0
CVE-2024-37053,scikit-learn,< 1.1.0,"Unsafe Deserialization, RCE","MLflow versions 1.1.0 or newer allow for deserialization of untrusted data, enabling a malicious scikit-learn model to execute arbitrary code on an end user's system when interacted with.",,NVD,"Deployment, Maintenance",Unknown,"Validate and restrict the deserialization process in MLflow, ensuring only trusted and verified models are allowed. Implement serialization safeguards to reject or sanitize untrusted data inputs.","OWASP Secure Coding Practices, A8: Deserialization - Validating serialized data sources to prevent RCE.",1.1.0
CVE-2024-37052,scikit-learn,< 1.1.0,"Unsafe Deserialization, RCE","Deserialization of untrusted data can occur in versions of the MLflow platform running 1.1.0 or newer, allowing a maliciously uploaded scikit-learn model to execute arbitrary code when interacted with on an end user's system.",,NVD,"Deployment, Maintenance",Unknown,Upgrade MLflow to the latest secure version and configure MLflow to only accept models from trusted repositories. Apply access control mechanisms to prevent unauthorized model uploads.,"NIST SP 800-53 Rev. 5, SI-16 (Memory Protection) - Implement controls to validate the source of serialized data.",1.1.0
CVE-2020-13092,scikit-learn,< 0.23.0,Code Execution (via joblib.load),Scikit-learn (sklearn) through 0.23.0 is vulnerable to code execution when joblib.load() is used with untrusted files due to unsafe deserialization if __reduce__ calls os.system.,9.8,NVD,Implementation and Testing,Unknown,"Avoid deserializing untrusted files using joblib.load(). If deserialization is necessary, validate inputs and apply sandboxing techniques. Use secure alternatives for loading data models.","NIST SP 800-53 Rev. 5, SI-7 (Software and Information Integrity)",0.23.0
CVE-2020-28975,scikit-learn,< 0.23.2,Denial of Service (DoS),"Libsvm v324 (in Scikit-learn 0.23.2) is vulnerable to DoS via a crafted SVM model with a large value in the _n_support array, causing a segmentation fault.",7.5,NVD,Maintenance and Testing,Unknown,Validate model inputs before allowing them to interact with Libsvm APIs to ensure integrity. Use secure serialization formats and conduct boundary tests to prevent segmentation faults when loading external models.,"NIST SP 800-53 Rev. 5, SA-15 (Development Process, Standards, and Tools)",0.23.2
CVE-2023-33976,tensorflow,<2.12,Segmentation Fault (DoS),TensorFlow's array_ops.upper_bound causes a segfault when not given a rank 2 tensor. The fix is in TensorFlow 2.13 and will be backported to TensorFlow 2.12.,,NVD,Development,Unknown,Implement input validation to ensure tensors meet required specifications. Apply fuzz testing to identify potential crash scenarios.,"NIST SP 800-53 Rev. 5, SI-10 (Information Input Validation) - Ensuring inputs are checked before processing.",
CVE-2023-30767,tensorflow,< 2.13.0,Buffer Overflow (Privilege Escalation),Improper buffer restrictions in Intel(R) Optimization for TensorFlow before version 2.13.0 may allow an authenticated user to potentially enable escalation of privilege via local access.,,NVD,Development,Unknown,Implement bounds checking and use compiler flags that prevent buffer overflows. Regularly update software to include security patches.,"CERT C Coding Standard, STR31-C (Guarantee that array indexes are within bounds) - Preventing buffer overflow vulnerabilities.",2.13.0
CVE-2023-25661,tensorflow,< 2.11.1,Denial of Service (DoS),"TensorFlow versions prior to 2.11.1 are vulnerable to crashes from invalid inputs to the Convolution3DTranspose function, potentially causing DoS.",,NVD,Deployment,Unknown,Implement input validation to ensure that all parameters are within expected ranges. Use fuzz testing to identify potential input-based vulnerabilities.,"NIST SP 800-53 Rev. 5, SI-10 (Information Input Validation) - Validating inputs to prevent DoS attacks.",2.11.1
CVE-2023-27579,tensorflow,<2.12,Floating Point Exception (DoS),Constructing a tflite model with filter_input_channel less than 1 causes a floating point exception. Fixed in version 2.12.,,NVD,Development,Unknown,Implement checks to ensure that input channels meet the minimum required value before processing. Use exception handling mechanisms to manage invalid inputs gracefully.,"NIST SP 800-53 Rev. 5, SI-16 (Error Handling) - Addressing potential input errors to maintain system stability.",
CVE-2023-25801,tensorflow,Unknown (Needs Research),Input Validation,"TensorFlow's nn_ops.fractional_avg_pool_v2 requires specific values for its pooling_ratio parameter, and invalid inputs may cause crashes.",,NVD,Development,Unknown,Validate the pooling_ratio parameter before processing to ensure it meets required specifications. Conduct static analysis to detect potential input validation gaps.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation) - Ensuring validation of critical input parameters.",
CVE-2023-25676,tensorflow,< 2.12.0,Null Pointer Dereference (DoS),tf.raw_ops.ParallelConcat in TensorFlow versions prior to 2.12.0 crashes with a null pointer dereference when given invalid parameters.,,NVD,Development,Unknown,Implement input validation to ensure that parameters are properly initialized. Use static code analysis tools to detect and resolve null pointer issues.,"CERT C Coding Standard, EXP34-C (Do not dereference null pointers) - Preventing null pointer dereference vulnerabilities.",2.12.0
CVE-2023-25668,tensorflow,< 2.12.0,Heap Memory Access (RCE),TensorFlow versions before 2.12.0 allow heap memory access that could result in remote code execution.,,NVD,Deployment,Unknown,Use memory protection techniques such as ASLR (Address Space Layout Randomization) and DEP (Data Execution Prevention). Apply updates and security patches to address known vulnerabilities.,"NIST SP 800-53 Rev. 5, SI-16 (Memory Protection) - Implementing memory protection techniques.",2.12.0
CVE-2022-36003,tensorflow,Unknown (Needs Research),Floating Point Exception (DoS),RandomPoissonV2 receives invalid input causing floating point exceptions and potential DoS.,,NVD,Development,Unknown,Validate input ranges to ensure they are within acceptable limits. Use exception handling to manage floating point errors.,"CERT C Coding Standard, FLP34-C (Ensure that floating-point operations do not result in undefined behavior) - Handling floating-point exceptions safely.",
CVE-2022-35964,tensorflow,Unknown (Needs Research),Denial of Service (DoS),"BlockLSTMGradV2 does not validate inputs fully, leading to a segfault that can be used for a denial of service attack.",,NVD,Development,Unknown,Implement input validation for all inputs before processing in BlockLSTMGradV2. Conduct static code analysis to identify missing checks.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation) - Ensuring robust input handling.",
CVE-2022-29216,tensorflow,< 2.9.0,Code Injection,"saved_model_cli tool in TensorFlow before 2.9.0 is vulnerable to code injection, allowing reverse shell creation when using numpy expressions.",,NVD,Development,Unknown,Restrict input handling for the saved_model_cli tool. Validate and sanitize inputs to prevent execution of unauthorized code.,"OWASP Top 10, A1: Injection - Preventing injection vulnerabilities through input sanitization.",2.9.0
CVE-2022-29213,tensorflow,Unknown (Needs Research),Denial of Service (DoS),"tf.compat.v1.signal.rfft2d and tf.compat.v1.signal.rfft3d in TensorFlow lack input validation, causing potential crashes.",,NVD,Development,Unknown,Validate input shapes for rfft2d and rfft3d before processing. Implement error handling for invalid input sizes.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation) - Managing input validation to ensure stability.",
CVE-2022-29210,tensorflow,< 2.8.0,Memory Handling Error,"The TensorKey hash function in TensorFlow 2.8.0 has incorrect logic, leading to potential memory handling errors and crashes.",,NVD,Development,Unknown,Review and correct logic in TensorKey hashing. Use memory safety checks to prevent improper handling.,"NIST SP 800-53 Rev. 5, SI-16 (Memory Protection) - Addressing memory handling issues.",2.8.0
CVE-2022-29205,tensorflow,Unknown (Needs Research),Denial of Service (DoS),"In TensorFlow, missing kernel support in tf.compat.v1 ops can result in nullptr dereference, leading to segmentation faults and denial of service.",,NVD,Development,Unknown,Implement input validation and ensure proper kernel support is available before executing operations. Use error handling for unsupported operations.,"CERT C Coding Standard, EXP34-C (Avoid null pointer dereference) - Preventing null dereferences.",
CVE-2022-29201,tensorflow,Unknown (Needs Research),Null Pointer Dereference (DoS),"tf.raw_ops.QuantizedConv2D in TensorFlow does not validate input arguments properly, leading to potential nullptr dereferences, causing program crashes.",,NVD,Development,Unknown,Validate input arguments before processing to ensure they are properly initialized. Use static analysis tools to prevent null pointer access.,"CERT C Coding Standard, EXP34-C (Avoid null pointer dereferences) - Managing pointer safety.",
CVE-2022-29200,tensorflow,Unknown (Needs Research),Denial of Service (DoS),"tf.raw_ops.LSTMBlockCell in TensorFlow fails to validate argument ranks, leading to potential CHECK failures and program crashes.",,NVD,Development,Unknown,Validate argument ranks to ensure compatibility before processing. Use input checks to avoid rank mismatches.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation) - Preventing input-related vulnerabilities.",
CVE-2022-29196,tensorflow,Unknown (Needs Research),Denial of Service (DoS),"tf.raw_ops.Conv3DBackpropFilterV2 in TensorFlow fails to validate the filter_sizes argument, which can cause CHECK failures and denial of service.",,NVD,Development,Unknown,Validate filter_sizes argument to ensure compatibility before processing.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation) - Preventing input parameter issues.",
CVE-2022-29193,tensorflow,Unknown (Needs Research),Denial of Service (DoS),"tf.raw_ops.TensorSummaryV2 in TensorFlow does not validate input arguments, leading to potential CHECK failures.",,NVD,Development,Unknown,Implement input validation to ensure input arguments meet expected ranges before processing.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation) - Ensuring safe input handling.",
CVE-2022-29192,tensorflow,Unknown (Needs Research),Denial of Service (DoS),"tf.raw_ops.QuantizeAndDequantizeV4Grad in TensorFlow fails to validate input arguments, leading to CHECK failures.",,NVD,Development,Unknown,Validate inputs for QuantizeAndDequantizeV4Grad to ensure compatibility with expected ranges.,"CERT C Coding Standard, ARR32-C (Validating input data ranges) - Preventing input mismatches.",
CVE-2022-23592,tensorflow,< 2.8.0,Heap Out-of-Bounds Read,TensorFlow's type inference can cause a heap out of bounds read as the bounds checking is done in a `DCHECK` (which is a no-op during production). An attacker can control the `input_idx` variable such that `ix` would be larger than the number of values in `node_t.args`. The fix will be included in TensorFlow 2.8.0. This is the only affected version.,,NVD,Development,Unknown,"Implement thorough bounds checking in production code, not just DCHECK. Use memory safety checks to prevent out-of-bounds reads.","CERT C Coding Standard, MEM35-C (Ensure memory operations are bounded) - Protecting against out-of-bounds access.",2.8.0
CVE-2021-41197,tensorflow,Unknown (Needs Research),Denial of Service,TensorFlow allows tensors with a large number of dimensions; overflow causes CHECK-failure. Similar to CVE-2021-29584.,,NVD,Design,Unknown,Implement input validation to limit the number of tensor dimensions. Use safe handling for large-dimensional tensors.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation) - Managing tensor shapes securely.",
CVE-2021-41195,tensorflow,Unknown (Needs Research),Denial of Service,"tf.math.segment_* operations may cause CHECK-fail if segment ID is large, similar to CVE-2021-29584.",,NVD,Deployment,Unknown,Validate segment IDs to ensure they fall within expected ranges before processing.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation) - Handling input ranges properly.",
CVE-2021-37672,tensorflow,Unknown (Needs Research),Memory Corruption,tf.raw_ops.SdcaOptimizerV2 allows reading outside bounds with illegal arguments.,,NVD,Deployment,Unknown,Validate input arguments for SdcaOptimizerV2 to ensure they are within expected ranges.,"CERT C Coding Standard, ARR32-C (Validate array indices) - Preventing out-of-bounds access.",
CVE-2021-37669,tensorflow,Unknown (Needs Research),Denial of Service,"tf.raw_ops.NonMaxSuppressionV5 can trigger a division by zero when resizing a std::vector, causing a crash.",,NVD,Deployment,Unknown,Validate inputs to ensure non-zero values before resizing operations in NonMaxSuppressionV5.,"CERT C Coding Standard, FLP34-C (Avoid division by zero) - Preventing arithmetic errors.",
CVE-2021-37663,tensorflow,Unknown (Needs Research),Memory Corruption,tf.raw_ops.QuantizeV2 allows access to out-of-bounds data due to incomplete validation of input dimensions.,,NVD,Design,Unknown,Validate input dimensions for QuantizeV2 to ensure they align with expected ranges before processing.,"NIST SP 800-53 Rev. 5, SI-16 (Memory Protection) - Managing tensor operations securely.",
CVE-2021-37652,tensorflow,Unknown (Needs Research),Use After Free,tf.raw_ops.BoostedTreesCreateEnsemble is vulnerable to use after free errors due to incorrect resource management.,,NVD,Deployment,Unknown,Implement proper resource management for BoostedTreesCreateEnsemble to ensure objects are freed only after use.,"CERT C Coding Standard, MEM50-C (Do not access freed memory) - Managing object lifetimes correctly.",
CVE-2021-37648,tensorflow,Unknown (Needs Research),Null Pointer Dereference,"tf.raw_ops.SaveV2 fails to validate input properly, leading to null pointer dereference.",,NVD,Deployment,Unknown,Validate all input arguments for SaveV2 to ensure non-null values before processing.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation) - Preventing null pointer-related issues.",
CVE-2021-37645,tensorflow,Unknown (Needs Research),Integer Overflow,tf.raw_ops.QuantizeAndDequantizeV4Grad may trigger an integer overflow due to improper handling of axis values.,,NVD,Design,Unknown,Validate axis values for QuantizeAndDequantizeV4Grad to ensure they are within safe ranges.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation) - Ensuring safe handling of tensor axis values.",
CVE-2021-29610,tensorflow,Unknown (Needs Research),Heap Underflow,"tf.raw_ops.QuantizeAndDequantizeV2 validation allows invalid axis values, potentially leading to heap underflow.",,NVD,Development,Unknown,Implement checks for axis values to ensure they fall within valid ranges before processing.,"CERT C Coding Standard, ARR32-C (Validate array indices) - Preventing underflow vulnerabilities.",
CVE-2021-29526,tensorflow,Unknown (Needs Research),Division by Zero,"Lack of validation in tf.raw_ops.Conv2D results in division by zero, leading to runtime exceptions.",,NVD,Development,Unknown,Validate tensor inputs in Conv2D to ensure non-zero dimensions before processing.,"CERT C Coding Standard, FLP34-C (Avoid division by zero) - Managing input validation for safety.",
CVE-2021-29522,tensorflow,< 2.5.0,Denial of Service,"TensorFlow's tf.raw_ops.Conv3DBackprop* fails to validate non-empty input tensors, leading to a division by zero. Attackers can exploit this to cause a denial of service. Fixes included in TensorFlow 2.5.0 and earlier.",,NVD,Deployment,Unknown,Ensure input tensors for Conv3DBackprop* are validated to be non-empty before operations.,"CERT C Coding Standard, FLP34-C (Avoid division by zero) - Ensuring safe tensor operations.",2.5.0
CVE-2021-29521,tensorflow,< 2.5.0,Memory Corruption,TensorFlow's tf.raw_ops.SparseCountSparseOutput with a negative dense shape can cause segmentation faults due to broken std::vector invariants. Fixes included in TensorFlow 2.5.0 and earlier.,,NVD,"Development, Deployment",Unknown,Validate dense_shape input in SparseCountSparseOutput to ensure positive values.,"NIST SP 800-53 Rev. 5, SI-16 (Memory Protection) - Preventing memory access errors.",2.5.0
CVE-2021-29520,tensorflow,< 2.5.0,Memory Corruption,"TensorFlow's tf.raw_ops.Conv3DBackprop* operations lack argument validation, leading to heap buffer overflows. Fixes included in TensorFlow 2.5.0 and earlier.",,NVD,"Development, Testing",Unknown,Implement strict input validation for Conv3DBackprop* to ensure compatibility with expected ranges.,"CERT C Coding Standard, ARR32-C (Validate array indices) - Managing safe memory operations.",2.5.0
CVE-2021-29519,tensorflow,< 2.5.0,Denial of Service,"TensorFlow's tf.raw_ops.SparseCross can be tricked into causing CHECK failures, leading to a denial of service. Fixes included in TensorFlow 2.5.0 and earlier.",,NVD,Deployment,Unknown,Validate input arguments in SparseCross to prevent CHECK failures.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation) - Ensuring stable tensor operations.",2.5.0
CVE-2021-29518,tensorflow,< 2.5.0,Null Pointer Dereference,"In TensorFlow's eager mode, session operations can cause a null pointer dereference. Fixes included in TensorFlow 2.5.0 and earlier.",,NVD,"Development, Deployment",Unknown,Validate session inputs in eager mode to prevent null pointer dereferencing.,"CERT C Coding Standard, EXP34-C (Avoid dereferencing null pointers) - Preventing crashes during session operations.",2.5.0
CVE-2021-29517,tensorflow,< 2.5.0,Denial of Service,"TensorFlow's Conv3D operations can be exploited to cause a division by zero, leading to crashes. Fixes included in TensorFlow 2.5.0 and earlier.",,NVD,"Development, Deployment",Unknown,Validate input tensor dimensions in Conv3D to ensure non-zero values.,"CERT C Coding Standard, FLP34-C (Avoid division by zero) - Managing division operations securely.",2.5.0
CVE-2021-29516,tensorflow,< 2.5.0,Null Pointer Dereference,TensorFlow's tf.raw_ops.RaggedTensorToVariant with invalid ragged tensors can cause null pointer dereferences. Fixes included in TensorFlow 2.5.0 and earlier.,,NVD,"Development, Testing",Unknown,Validate inputs to RaggedTensorToVariant to ensure they conform to expected structures.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation) - Preventing pointer issues in tensor conversion.",2.5.0
CVE-2021-29515,tensorflow,< 2.5.0,Memory Corruption,"TensorFlow's MatrixDiag* operations lack validation, potentially causing issues with empty tensors. Fixes included in TensorFlow 2.5.0 and earlier.",,NVD,"Development, Testing",Unknown,Validate input tensors for MatrixDiag* operations to ensure non-empty values before processing.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation) - Ensuring secure data handling.",2.5.0
CVE-2021-29514,tensorflow,< 2.5.0,Heap Buffer Overflow,TensorFlow's RaggedBincount can cause heap buffer overflow with an invalid splits argument. Fixes included in TensorFlow 2.5.0 and earlier.,,NVD,"Development, Testing",Unknown,Validate splits argument in RaggedBincount to ensure it conforms to expected ranges.,"CERT C Coding Standard, ARR32-C (Validate array indices) - Managing input for safe memory operations.",2.5.0
CVE-2021-29513,tensorflow,< 2.5.0,Null Pointer Dereference,TensorFlow operations with non-numeric tensors can trigger null pointer dereferences. Fixes included in TensorFlow 2.5.0 and earlier.,,NVD,"Development, Deployment",Unknown,Validate tensor data types before processing to ensure they are numeric.,"CERT C Coding Standard, EXP34-C (Avoid dereferencing null pointers) - Preventing undefined behavior.",2.5.0
CVE-2021-29554,tensorflow,< 2.5.0,Denial of Service,"TensorFlow's tf.raw_ops.DenseCountSparseOutput fails to validate divisor values, leading to a potential division by zero, causing a denial of service. Fixes included in TensorFlow 2.5.0 and earlier.",,NVD,Deployment,Unknown,Implement divisor validation for DenseCountSparseOutput to prevent zero values.,"CERT C Coding Standard, FLP34-C (Avoid division by zero) - Managing division operations securely.",2.5.0
CVE-2021-29512,tensorflow,< 2.5.0,Heap Buffer Overflow,"TensorFlow's RaggedBincount with invalid splits arguments can cause a read outside of bounds, leading to a heap buffer overflow. Fixes included in TensorFlow 2.5.0 and earlier.",,NVD,"Development, Testing",Unknown,Ensure validation of the splits parameter to avoid out-of-bounds reads.,"NIST SP 800-53 Rev. 5, SI-16 (Memory Protection) - Preventing memory errors.",2.5.0
CVE-2020-26270,tensorflow,< 2.4.0,Denial of Service,"TensorFlow LSTM/GRU models with zero-length inputs cause CHECK failures in the CUDA backend, resulting in a denial of service. Fixed in versions 1.15.5, 2.0.4, 2.1.3, 2.2.2, 2.3.2, and 2.4.0.",,NVD,Deployment,Unknown,Validate input lengths for LSTM/GRU models to ensure they are non-zero.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation) - Managing input sizes to prevent runtime errors.",2.4.0
CVE-2020-26269,tensorflow,< 2.4.0,Memory Corruption,"TensorFlow 2.4.0rc versions' file path matching is vulnerable to out-of-bounds array access, potentially leading to memory corruption. Fixed in version 2.4.0.",,NVD,"Development, Testing",Unknown,Implement bounds checking for file path operations to ensure secure memory access.,"CERT C Coding Standard, ARR32-C (Validate array indices) - Ensuring memory safety.",2.4.0
CVE-2020-26268,tensorflow,< 2.4.0,Segmentation Fault,"TensorFlow's tf.raw_ops.ImmutableConst can crash Python interpreter if non-integral tensor types are used, leading to segmentation faults. Fixed in TensorFlow versions 1.15.5, 2.0.4, 2.1.3, 2.2.2, 2.3.2, and 2.4.0.",,NVD,"Development, Deployment",Unknown,Validate tensor types for ImmutableConst to ensure they are integral before processing.,"CERT C Coding Standard, EXP34-C (Avoid dereferencing null pointers) - Preventing segmentation faults.",2.4.0
CVE-2020-26267,tensorflow,< 2.4.0,Memory Corruption,"TensorFlow's tf.raw_ops.DataFormatVecPermute lacks validation for attributes, leading to uninitialized memory access and potential crashes. Fixed in TensorFlow versions 1.15.5, 2.0.4, 2.1.3, 2.2.2, and 2.4.0.",,NVD,"Development, Testing",Unknown,Validate DataFormatVecPermute attributes to prevent accessing uninitialized memory.,"NIST SP 800-53 Rev. 5, SI-16 (Memory Protection) - Ensuring memory safety.",2.4.0
CVE-2020-26266,tensorflow,< 2.4.0,Uninitialized Memory,"TensorFlow models may trigger uninitialized value usage during execution, leading to data corruption. Fixed in TensorFlow versions 1.15.5, 2.0.4, 2.1.3, 2.2.2, 2.3.2, and 2.4.0.",,NVD,"Development, Testing",Unknown,Ensure all tensors are initialized before usage to prevent uninitialized memory access.,"CERT C Coding Standard, MSC32-C (Properly initialize variables) - Managing memory effectively.",2.4.0
CVE-2020-26271,tensorflow,< 2.4.0,Memory Leak,"TensorFlow model loading can cause uninitialized memory access, potentially leaking data. Fixed in TensorFlow versions 1.15.5, 2.0.4, 2.1.3, 2.2.2, 2.3.2, and 2.4.0.",,NVD,"Development, Testing",Unknown,Implement proper memory management during model loading to ensure cleanup.,"NIST SP 800-53 Rev. 5, SI-16 (Memory Protection) - Managing resource allocation securely.",2.4.0
CVE-2020-15266,tensorflow,< 2.4.0,Segmentation Fault,Large boxes values in tf.image.crop_and_resize lead to undefined behavior and segmentation faults in TensorFlow before version 2.4.0. Fixed in TensorFlow 2.4.0.,,NVD,"Development, Testing",Unknown,Validate box dimensions in crop_and_resize to ensure they remain within expected ranges.,"CERT C Coding Standard, ARR32-C (Validate array indices) - Preventing segmentation faults.",2.4.0
CVE-2020-15265,tensorflow,< 2.4.0,Memory Corruption,"TensorFlow's tf.quantization.quantize_and_dequantize with invalid axis values can lead to memory access violations, causing crashes. Fixed in TensorFlow 2.4.0.",,NVD,"Development, Deployment",Unknown,Validate axis values before performing quantization operations.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation) - Preventing memory corruption.",2.4.0
CVE-2020-15214,tensorflow,< 2.3.1,Write Out of Bounds / Segmentation Fault,"TensorFlow Lite models using segment sum with unsorted segment ids can cause memory allocation errors, leading to writes outside the allocated buffer, potentially used for memory corruption-based exploits. Patched in TensorFlow 2.2.1 and 2.3.1.",,NVD,"Deployment, Maintenance",Unknown,Validate segment ids in TFLite models before performing operations to ensure safe memory allocations.,"CERT C Coding Standard, ARR32-C (Validate array indices) - Managing memory safety.",2.3.1
CVE-2020-15213,tensorflow,< 2.3.1,Denial of Service,"TensorFlow Lite models using segment sum can cause an out-of-memory condition if large values are used for segment ids, leading to a denial of service. Patched in TensorFlow 2.2.1 and 2.3.1.",,NVD,"Deployment, Maintenance",Unknown,Implement limits on segment ids to prevent excessive memory allocation.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation) - Preventing denial of service.",2.3.1
CVE-2020-15212,tensorflow,< 2.3.1,Write Out of Bounds,"TensorFlow Lite models with negative segment ids can write outside buffer bounds, causing potential memory corruption. Patched in TensorFlow 2.2.1 and 2.3.1.",,NVD,"Deployment, Maintenance",Unknown,Validate segment ids to ensure they are positive before proceeding with TFLite operations.,"CERT C Coding Standard, ARR32-C (Validate array indices) - Preventing memory corruption.",2.3.1
CVE-2020-15211,tensorflow,< 2.3.1,Read/Write Outside Bounds,"TensorFlow Lite's double indexing in saved models allows reading/writing outside heap bounds using negative indices, limited to specific memory offsets. Patched in TensorFlow 1.15.4, 2.0.3, 2.1.2, 2.2.1, and 2.3.1.",,NVD,"Development, Testing",Unknown,Validate tensor indices in TFLite models to ensure they fall within buffer bounds.,"NIST SP 800-53 Rev. 5, SI-16 (Memory Protection) - Preventing buffer overflows.",2.3.1
CVE-2020-15210,tensorflow,< 2.3.1,Segmentation Fault,"TensorFlow Lite models using the same tensor as both input and output may lead to segmentation faults or memory corruption. Patched in TensorFlow 1.15.4, 2.0.3, 2.1.2, 2.2.1, and 2.3.1.",,NVD,"Development, Testing",Unknown,Ensure input-output tensor roles are validated before performing operations.,"CERT C Coding Standard, EXP34-C (Avoid dereferencing null pointers) - Managing input-output safety.",2.3.1
CVE-2020-15209,tensorflow,< 2.3.1,Null Pointer Dereference,"TensorFlow Lite models can manipulate buffer indices to convert read-only tensors to read-write, leading to a null pointer dereference. Patched in TensorFlow 1.15.4, 2.0.3, 2.1.2, 2.2.1, and 2.3.1.",,NVD,"Development, Maintenance",Unknown,Validate tensor indices to ensure they remain within valid ranges.,"CERT C Coding Standard, EXP34-C (Avoid dereferencing null pointers) - Preventing undefined behavior.",2.3.1
CVE-2020-15208,tensorflow,< 2.3.1,Out of Bounds Access,"Maliciously crafted models can trigger out-of-bounds reads/writes by manipulating tensor sizes, leading to memory corruption. Patched in TensorFlow 1.15.4, 2.0.3, 2.1.2, 2.2.1, and 2.3.1.",,NVD,"Development, Testing",Unknown,Validate tensor dimensions and sizes before processing to prevent buffer overflows.,"NIST SP 800-53 Rev. 5, SI-16 (Memory Protection) - Ensuring memory safety during processing.",2.3.1
CVE-2020-15207,tensorflow,< 2.3.1,Out of Bounds Access,"Improper handling of negative indexing in TFLite's ResolveAxis can lead to out-of-bounds access, causing crashes and data corruption. Patched in TensorFlow 1.15.4, 2.0.3, 2.1.2, 2.2.1, and 2.3.1.",,NVD,"Development, Testing",Unknown,Implement checks for negative indexing values before using ResolveAxis to ensure indices fall within valid ranges.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation) - Validating input values to ensure safety during index operations.",2.3.1
CVE-2020-15206,tensorflow,< 2.3.1,Denial of Service,"Altering TensorFlow's SavedModel keys results in crashes or data corruption during model loading. Patched in TensorFlow 1.15.4, 2.0.3, 2.1.2, 2.2.1, and 2.3.1.",,NVD,"Development, Deployment",Unknown,Validate and authenticate SavedModel keys during loading to ensure integrity and avoid data tampering.,"NIST SP 800-53 Rev. 5, SI-7 (Software, Firmware, and Information Integrity) - Ensuring model integrity during deployment.",2.3.1
CVE-2020-15205,tensorflow,< 2.3.1,Heap Overflow,"Lack of validation in tf.raw_ops.StringNGrams' data_splits can lead to heap overflow and potential memory leak. Patched in TensorFlow 1.15.4, 2.0.3, 2.1.2, 2.2.1, and 2.3.1.",,NVD,"Development, Testing",Unknown,Implement bounds checks for data_splits in StringNGrams operations to prevent heap overflows.,"CERT C Coding Standard, ARR32-C (Validate array indices) - Preventing out-of-bounds memory access.",2.3.1
